,Equity
HDFC Bank,127
Maruti Suzuki,117
ICICI Bank,116
ITC,113
Larsen,113
IndusInd Bank,105
Infosys,96
Reliance,95
SBI,93
HDFC,92
Kotak Mahindra,90
Tata Motors,79
HCL Tech,77
IOC,77
Sun Pharma,75
Power Grid Corp,72
Hero Motocorp,68
Axis Bank,65
Hindalco,65
M&M;,64
Tata Steel,63
UltraTechCement,62
Vedanta,59
Britannia,57
Yes Bank,54
Petronet LNG,54
Bharat Elec,52
NTPC,51
BPCL,49
Eicher Motors,49
TCS,49
GAIL,47
HUL,46
Aurobindo Pharm,46
Zee Entertain,44
Bharti Airtel,43
Shree Cements,42
Cummins,41
Asian Paints,41
Motherson Sumi,41
Bank of Baroda,41
Bajaj Finserv,39
Max Financial,38
UPL,38
ONGC,37
Bajaj Finance,37
HPCL,37
Lupin,36
Grasim,36
Federal Bank,34
Tech Mahindra,31
Tata Motors (D),29
Coal India,28
Container Corp,27
Cipla,26
MRF,24
Hind Zinc,24
Bajaj Auto,23
Titan Company,23
Wipro,22
Castrol,22
Bosch,22
Avenue Supermar,22
LIC Housing Fin,22
ICICI Prudentia,22
Colgate,21
Interglobe Avi,21
Whirlpool,20
Bharat Forge,20
ABB India,19
Adani Ports,19
Pidilite Ind,19
Divis Labs,18
Marico,18
IGL,18
Aditya Birla ,18
Dr Reddys Labs,18
Ramco Cements,17
Arvind,17
CG Consumer,17
Cholamandalam,16
Piramal Enter,16
Godrej Consumer,16
ACC,16
Cadila Health,16
RBL Bank,15
Coromandel Int,15
Dabur India,15
Indiabulls Hsg,14
Torrent Pharma,14
Sun TV Network,14
Kansai Nerolac,14
Muthoot Finance,13
Ambuja Cements,13
Siemens,13
TVS Motor,13
L&T; Finance,12
United Spirits,12
P and G,12
IIFL Holdings,12
AIA Engineering,11
Info Edge,10
CDSL,10
Emami,10
Berger Paints,10
City Union Bank,10
Page Industries,10
Sanofi India,10
Jubilant Food,10
Astral Poly Tec,10
NBCC (India),10
Shriram City,10
Havells India,10
PI Industries,10
Ashok Leyland,9
Sundram,9
Persistent,9
Bharti Infratel,9
Dalmia Bharat,9
Natco Pharma,9
Oberoi Realty,9
AU Small Financ,9
Idea Cellular,8
Laurus Labs,8
M&M; Financial,8
IDFC,8
Dr Lal PathLab,8
Amara Raja Batt,8
Nestle,8
Thermax,8
Capital First,8
CRISIL,8
SKF India,8
Solar Ind,8
Apollo Tyres,8
Exide Ind,8
Bata India,8
BEML,8
Bayer CropScien,8
MRPL,8
United Brewerie,8
Aarti Ind,8
Schaeffler Ind,8
Tata Power,8
JK Lakshmi Cem,7
BSE Limited,7
Century,7
Alkem Lab,7
Tata Elxsi,7
HUDCO,7
Biocon,7
Guj State Petro,7
Godrej Ind,7
GRUH Finance,6
Sadbhav Engg,6
Manpasand Bever,6
Sun Pharma Adv,6
Tata Global Bev,6
Tata Chemicals,6
Tata Comm,6
Raymond,6
Aegis Logistics,6
Dewan Housing,6
Oracle Fin Serv,6
Ajanta Pharma,6
Akzo Nobel,6
Voltas,6
Yuken India,6
Shankara Buildi,6
Mindtree,6
GE T&D; India,6
REC,6
Shriram Trans,6
GlaxoSmith Con,6
J. K. Cement,6
Aditya Birla F,6
Future Retail,5
INOX Leisure,5
Motilal Oswal,5
Indiabulls,5
SAIL,5
CCL Products,5
Rel Capital,5
VIP Industries,5
Minda Ind,5
SREI Infra,5
Dilip Buildcon,5
Sintex Plastics,5
CG Power ,4
eClerx Services,4
Relaxo Footwear,4
JSW Steel,4
Equitas Holding,4
Va Tech Wabag,4
Ipca Labs,4
MphasiS,4
TI Financial,4
Syngene Intl,4
Bajaj Electric,4
Grindwell Norto,4
Mahindra Holida,4
Skipper,4
Karur Vysya,4
Torrent Power,4
DB Corp,4
SIS,4
PNB Housing Fin,4
Supreme Ind,4
ITD Cementation,4
Techno Electric,4
GE Power India,4
Reliance Comm,4
Glenmark,4
Kajaria Ceramic,4
Ashoka Buildcon,4
Repco Home,4
Symphony,4
KEC Intl,4
Eris Life,4
TeamLease Ser.,4
L&T; Infotech,4
Canara Bank,4
NLC India,4
NHPC,4
Blue Star,4
Rallis India,4
Union Bank,4
EngineersInd,4
Dollar Ind,4
NIIT Tech,4
MCX India,4
Cochin Shipyard,4
PNB,4
India Cements,4
Endurance Techn,4
BHEL,4
Strides Shasun,4
NCC,4
Wonderla,4
Thomas Cook,4
Graphite India,3
CenturyPlyboard,3
Vinati Organics,3
KEI Industries,3
Linde India,2
Sundaram Fin,2
Jyothy Labs,2
Dish TV,2
Bajaj Corp,2
PVR,2
Nava Bharat Ven,2
Bharat Fin,2
Rane Holdings,2
Phoenix Mills,2
Uniply Ind,2
Heritage Foods,2
Coffee Day,2
Taj GVK Hotels,2
Cera Sanitary,2
KCP,2
Gujarat Gas,2
Abbott India,2
Apollo Hospital,2
Himadri Special,2
Sheela Foam,2
Gulf Oil Lubric,2
BLS Internation,2
CESC,2
Indian Bank,2
Honeywell Autom,2
Gateway Distri,2
Jindal Steel,2
ISGEC Heavy Eng,2
Finolex Ind,2
Kirloskar Bros,2
Sterlite Techno,2
WABCO India,2
South Ind Bk,2
Amulya Leasing,2
Trident,2
Tata Coffee,2
PTC India,2
CARE,2
INEOS Styro,2
Thyrocare Techn,2
Can Fin Homes,2
Music Broadcast,2
Federal-Mogul,2
Gujarat Pipavav,2
Kaveri Seed,2
Inter Globe Fin,2
GIC Housing Fin,2
Vardhman Text,2
Phoenix Lamps,2
NALCO,2
Eimco Elecon,2
Sagar Cement,2
Igarashi Motors,2
Deccan Cements,2
DCB Bank,2
Ahluwalia,2
Astra Microwave,2
Mcleod,2
Future Life,2
Texmaco Rail,2
Mirza Intl,2
Eveready Ind,2
Sterling Tools,2
Magma Fincorp,2
Narayana Hruda,2
Greenply Ind,2
Dalmia Sugar,2
Jaiprakash Pow,2
S Chand and Co,2
Navin Fluorine,2
Ratnamani Metal,2
JMC Projects,2
Bank of India,2
GlaxoSmithKline,2
Indian Hotels,2
VRL Logistics,2
Action Const,2
C & C Construct,2
Alembic Pharma,2
DLF,2
IRB Infra,2
Sintex Ind,2
GE Shipping,2
HPL Electric & ,2
Ceat,2
PSP Projects,2
Finolex Cables,2
Balkrishna Ind,2
GTPL Hathway,2
JK Bank,2
Chennai Petro,2
Navneet,2
L&T; Technology,2
Power Finance,2
Automotive Axle,2
Godrej Prop,2
Escorts,2
Polaris Consult,2
Kirloskar Ind,2
Apar Ind,2
Indoco Remedies,2
Kalpataru Power,2
Navkar Corp,2
Pennar Eng,2
GSFC,1
Cosmo Films,1
